Name = FX 60-100
Mach = 0; Re = 100000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 0; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
Éø	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[Åã]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-9.0	-0.320	0.08080	-0.032	0.815	0.002	0.945	0.003	-3.962	0.248	0.150
-8.0	-0.263	0.06676	-0.032	0.805	0.002	0.946	0.003	-3.945	0.253	0.128
-7.0	-0.195	0.05614	-0.033	0.789	0.002	0.950	0.003	-3.481	0.252	0.083
-6.0	-0.118	0.04808	-0.032	0.775	0.002	0.952	0.003	-2.450	0.251	-0.024
-5.0	-0.033	0.04225	-0.033	0.763	0.002	0.954	0.003	-0.773	0.262	-0.753
-4.0	0.058	0.03820	-0.034	0.751	0.002	0.956	0.003	1.513	0.284	0.843
-3.0	0.152	0.03541	-0.039	0.723	0.003	0.963	0.006	4.282	0.552	0.508
-2.0	0.307	0.01056	-0.110	0.704	0.067	0.965	0.986	29.105	0.513	0.607
-1.0	0.425	0.01089	-0.111	0.673	0.357	0.972	0.990	39.025	0.261	0.511
-0.0	0.543	0.01187	-0.112	0.639	0.380	0.977	0.993	45.759	0.263	0.457
1.0	0.661	0.01306	-0.114	0.525	0.415	0.991	1.000	50.575	0.263	0.422
2.0	0.780	0.00957	-0.115	0.457	0.431	1.000	1.000	81.504	0.261	0.398
3.0	0.898	0.00694	-0.117	0.084	0.486	1.000	1.000	129.453	0.261	0.380
4.0	1.010	0.00551	-0.118	0.049	0.543	1.000	1.000	183.221	0.261	0.367
5.0	1.113	0.00447	-0.119	0.045	0.564	1.000	1.000	248.759	0.263	0.357
6.0	1.202	0.00390	-0.120	0.026	1.000	1.000	1.000	308.566	0.266	0.350
7.0	1.270	0.00416	-0.121	0.016	1.000	1.000	1.000	305.108	0.246	0.346
8.0	1.281	0.03692	-0.120	0.014	1.000	0.889	1.000	34.713	0.731	0.344
9.0	1.263	0.03748	-0.118	0.001	1.000	0.783	1.000	33.692	0.617	0.344
10.0	1.038	0.07701	-0.031	0.000	1.000	0.001	1.000	13.481	0.584	0.279
11.0	0.997	0.09379	-0.029	0.000	1.000	0.001	1.000	10.629	0.262	0.280
12.0	0.937	0.11336	-0.029	0.000	1.000	0.001	1.000	8.269	0.244	0.281
13.0	0.866	0.14016	-0.030	0.000	1.000	0.001	1.000	6.178	0.240	0.285
14.0	0.789	0.16426	-0.031	0.000	1.000	0.001	1.000	4.801	0.242	0.289
15.0	0.711	0.20555	-0.032	0.000	1.000	0.001	1.000	3.457	0.238	0.294
16.0	0.636	0.24670	-0.033	0.000	1.000	0.001	1.000	2.576	0.235	0.302
17.0	0.566	0.29390	-0.034	0.000	1.000	0.001	1.000	1.925	0.241	0.310
18.0	0.502	0.34774	-0.034	0.000	1.000	0.001	1.000	1.445	0.229	0.318
19.0	0.446	0.29770	-0.036	0.000	1.000	0.001	1.000	1.498	0.220	0.331
20.0	0.396	0.33040	-0.037	0.001	1.000	0.001	1.000	1.198	0.214	0.344
21.0	0.352	0.38407	-0.040	0.001	1.000	0.002	1.000	0.917	0.216	0.362
22.0	0.314	0.42871	-0.040	0.001	1.000	0.002	1.000	0.732	0.234	0.377
23.0	0.280	0.47868	-0.041	0.001	1.000	0.002	1.000	0.586	0.204	0.395
24.0	0.251	0.53667	-0.043	0.001	1.000	0.002	1.000	0.468	0.198	0.420
25.0	0.226	0.59556	-0.044	0.001	1.000	0.003	1.000	0.380	0.203	0.443
26.0	0.204	0.65033	-0.045	0.001	1.000	0.003	1.000	0.314	0.198	0.471
27.0	0.185	0.72646	-0.046	0.001	1.000	0.003	1.000	0.254	0.193	0.498
28.0	0.168	0.79683	-0.047	0.001	1.000	0.003	1.000	0.210	0.187	0.531
29.0	0.153	0.88534	-0.048	0.001	1.000	0.003	1.000	0.172	0.171	0.563
30.0	0.139	0.98828	-0.049	0.001	1.000	0.004	1.000	0.141	0.173	0.604
31.0	0.128	1.05776	-0.050	0.001	1.000	0.004	1.000	0.121	0.205	0.639
32.0	0.117	1.15305	-0.050	0.001	1.000	0.004	1.000	0.102	0.141	0.678
33.0	0.108	0.97805	-0.052	0.001	1.000	0.004	1.000	0.111	0.144	0.729
34.0	0.100	1.04509	-0.052	0.001	1.000	0.004	1.000	0.096	0.104	0.771
35.0	0.093	1.13321	-0.054	0.001	1.000	0.005	1.000	0.082	0.110	0.833
36.0	0.086	1.18626	-0.054	0.001	1.000	0.005	1.000	0.073	0.128	0.878
37.0	0.080	1.28631	-0.056	0.001	1.000	0.006	1.000	0.062	0.088	0.943
38.0	0.075	1.34971	-0.056	0.001	1.000	0.006	1.000	0.055	0.107	0.997
39.0	0.070	1.43745	-0.057	0.001	1.000	0.006	1.000	0.049	0.065	1.065
40.0	0.066	1.54863	-0.058	0.001	1.000	0.006	1.000	0.042	0.055	1.127
41.0	0.062	1.64573	-0.059	0.001	1.000	0.007	1.000	0.038	0.108	1.201
42.0	0.058	1.68230	-0.059	0.001	1.000	0.006	1.000	0.035	0.029	1.260
43.0	0.055	1.84325	-0.060	0.001	1.000	0.007	1.000	0.030	0.049	1.348
44.0	0.052	1.88591	-0.060	0.001	1.000	0.007	1.000	0.027	1.423	1.407
45.0	0.049	1.96729	-0.053	0.001	0.500	0.008	0.500	0.025	1.487	1.340
46.0	0.047	2.02738	-0.053	0.001	0.500	0.007	0.500	0.023	0.092	1.398
47.0	0.044	2.10423	-0.054	0.001	0.500	0.008	0.500	0.021	-0.136	1.476
48.0	0.042	2.27157	-0.055	0.001	0.500	0.008	0.500	0.019	0.032	1.560
49.0	0.040	2.34668	-0.055	0.001	0.500	0.008	0.500	0.017	0.076	1.623
50.0	0.038	2.43970	-0.056	0.001	0.500	0.009	0.500	0.016	-0.141	1.707
51.0	0.037	2.53355	-0.056	0.001	0.500	0.009	0.500	0.014	0.066	1.791
52.0	0.035	2.62533	-0.056	0.001	0.500	0.009	0.500	0.013	0.065	1.857
53.0	0.034	2.74297	-0.057	0.001	0.500	0.009	0.500	0.012	-0.214	1.944
54.0	0.032	2.51987	-0.058	0.001	0.500	0.010	0.500	0.013	-0.185	2.034
55.0	0.031	2.54733	-0.058	0.001	0.500	0.010	0.500	0.012	0.120	2.120
56.0	0.030	2.63620	-0.058	0.002	0.500	0.010	0.500	0.011	0.038	2.186
57.0	0.029	2.77277	-0.059	0.002	0.500	0.011	0.500	0.010	-0.239	2.279
58.0	0.028	2.80475	-0.059	0.002	0.500	0.011	0.500	0.010	0.142	2.366
59.0	0.027	2.92445	-0.059	0.002	0.500	0.011	0.500	0.009	0.155	2.432
60.0	0.026	2.98027	-0.059	0.002	0.500	0.011	0.500	0.009	-0.162	2.517
61.0	0.025	3.03509	-0.060	0.002	0.500	0.012	0.500	0.008	-0.182	2.602
62.0	0.025	3.09444	-0.060	0.002	0.500	0.012	0.502	0.008	-0.218	2.688
63.0	0.024	3.17286	-0.060	0.002	0.500	0.012	0.504	0.008	0.273	2.774
64.0	0.023	3.20587	-0.060	0.002	0.500	0.012	0.507	0.007	0.297	2.830
65.0	0.023	3.30092	-0.060	0.002	0.500	0.012	0.509	0.007	-0.257	2.914
66.0	0.022	3.39116	-0.060	0.002	0.500	0.013	0.512	0.006	-0.104	2.996
67.0	0.021	3.36156	-0.061	0.002	0.500	0.013	0.515	0.006	-0.091	3.069
68.0	0.021	3.48441	-0.061	0.002	0.500	0.013	0.518	0.006	0.438	3.148
69.0	0.021	3.55387	-0.060	0.002	0.502	0.013	0.520	0.006	0.683	3.193
70.0	0.020	3.55256	-0.060	0.002	0.503	0.013	0.523	0.006	0.176	3.259
71.0	0.020	3.56161	-0.060	0.002	0.505	0.013	0.525	0.006	0.023	3.322
72.0	0.019	3.70538	-0.061	0.002	0.506	0.013	0.527	0.005	0.065	3.390
73.0	0.019	3.72427	-0.061	0.002	0.507	0.014	0.529	0.005	0.339	3.447
74.0	0.019	3.75648	-0.061	0.002	0.508	0.014	0.531	0.005	1.368	3.501
75.0	0.018	4.25764	-0.060	0.002	0.509	0.013	0.534	0.004	1.501	3.519
